episode,reward,loss
268,0.8,20.82192
269,-25.2,211.68593
270,6.6,13.02111
271,-13.7,29.54292
272,-3.2,-0.81664
273,6.0,7.4921
274,-3.4,4.70362
275,-0.4,2.25683
276,-9.0,15.93931
277,-0.6,5.84766
278,-17.8,59.98558
279,2.7,2.88192
280,0.9,9.96512
281,-6.5,9.48412
282,-10.4,6.26322
283,-8.1,19.34286
284,-21.9,184.26067
285,13.8,43.77934
286,-0.6,10.22056
287,1.9,12.21156
288,-11.0,59.54367
289,-9.9,2.12654
290,-5.3,1.56096
291,-11.6,7.29207
292,-4.3,4.55801
293,-6.2,4.65106
294,-3.0,2.13749
295,-2.5,5.12507
296,-3.2,0.98488
297,-14.6,65.65658
298,-3.8,1.77688
299,-5.8,4.9329
300,-1.1,-0.07151
301,-2.7,-0.93597
302,-6.6,5.69779
303,-6.0,0.27353
304,4.7,17.31705
305,5.9,22.54435
306,-3.9,-0.09375
307,-1.2,-0.09331
308,-6.2,-0.25112
309,6.4,9.90674
310,-6.0,8.58803
311,7.3,13.95813
312,-25.4,198.9503
313,10.2,33.10159
314,5.4,19.24982
315,9.2,28.42975
316,-18.9,45.07209
317,-11.4,65.19341
318,-15.6,16.19559
319,6.8,14.36523
320,-13.5,13.62281
321,-13.5,8.41383
322,-1.5,8.95482
323,-4.3,0.97112
324,-2.0,2.56334
325,-10.3,1.64437
326,-9.5,4.91696
327,-3.6,2.04664
328,-2.3,3.24741
329,4.0,19.5576
330,-25.2,195.06709
331,7.9,34.13418
332,-9.2,2.13351
333,-5.3,-0.26216
334,-7.9,2.51092
335,-2.8,1.65167
336,-4.5,4.52145
337,-14.5,21.53437
338,-6.0,1.87256
339,-4.3,0.57879
340,-2.8,0.73169
341,-6.2,4.96128
342,1.3,5.4349
343,6.5,25.45314
344,5.8,9.09593
345,-13.5,36.21807
346,-4.5,0.90771
347,8.9,17.04568
348,-10.7,14.62184
349,10.2,22.54961
350,-9.4,1.85744
351,-30.7,141.83321
352,-18.2,37.06308
353,4.1,5.75116
354,2.7,8.92765
355,4.1,6.56906
356,-3.5,0.69065
357,1.4,1.20014
358,-19.4,19.32519
359,-27.4,210.25826
360,5.1,10.24552
361,-18.0,32.30422
362,-6.8,0.98319
363,-8.9,13.10736
364,3.2,14.90264
365,10.4,33.61561
